account_id,tier,mrr,has_leakage,monthly_leakage_amount,leakage_probability,predicted_leakage,predicted_monthly_amount,predicted_annual_amount,risk_level
ACC000522,Business,799,True,119.85,0.5625284612249994,1,189.1693763525889,2270.032516231067,Medium
ACC000738,Business,799,False,0.0,0.4604818601071725,0,0.0,0.0,Medium
ACC000741,Starter,99,True,14.85,0.443993004350357,0,0.0,0.0,Medium
ACC000661,Professional,299,False,0.0,0.45067264675194096,0,0.0,0.0,Medium
ACC000412,Business,799,True,134.48,0.5865043519202826,1,121.87256323981164,1462.4707588777396,Medium
ACC000679,Professional,299,False,0.0,0.45301076133929,0,0.0,0.0,Medium
ACC000627,Business,799,False,0.0,0.5787698536670705,1,172.04722700353324,2064.566724042399,Medium
ACC000514,Professional,299,True,44.85,0.48052868442141794,0,0.0,0.0,Medium
ACC000860,Professional,299,False,0.0,0.33439512528012555,0,0.0,0.0,Medium
ACC000137,Professional,299,True,299.0,0.5156829040497338,1,306.46130189978993,3677.535622797479,Medium
ACC000812,Starter,99,False,0.0,0.33790579416520905,0,0.0,0.0,Medium
ACC000077,Business,799,True,182.57,0.5509402088210635,1,254.69197896798084,3056.30374761577,Medium
ACC000637,Professional,299,False,0.0,0.35593286327425866,0,0.0,0.0,Medium
ACC000974,Starter,99,True,99.0,0.6243455931234695,1,105.1327942669141,1261.5935312029692,High
ACC000939,Professional,299,True,44.85,0.5744498629127671,1,48.4959086445084,581.9509037341007,Medium
ACC000900,Professional,299,False,0.0,0.5426270020510873,1,2.7331500894256893,32.797801073108275,Medium
ACC000281,Professional,299,False,0.0,0.4700434726371355,0,0.0,0.0,Medium
ACC000884,Business,799,False,0.0,0.5820701571806085,1,62.60752331855332,751.2902798226398,Medium
ACC000762,Business,799,False,0.0,0.36914615460376177,0,0.0,0.0,Medium
ACC000320,Starter,99,False,0.0,0.3539859985017696,0,0.0,0.0,Medium
ACC000550,Professional,299,False,0.0,0.2628836042762894,0,0.0,0.0,Low
ACC000175,Professional,299,False,0.0,0.28468717215386163,0,0.0,0.0,Low
ACC000372,Starter,99,False,0.0,0.38240633678447933,0,0.0,0.0,Medium
ACC000528,Starter,99,True,14.85,0.49641479022104545,0,0.0,0.0,Medium
ACC000211,Business,799,True,86.61,0.6613906033145913,1,464.92764158449546,5579.131699013946,High
ACC000236,Professional,299,False,0.0,0.35438307082009923,0,0.0,0.0,Medium
ACC000102,Professional,299,False,0.0,0.3692111465125506,0,0.0,0.0,Medium
ACC000987,Starter,99,False,0.0,0.38575871007550333,0,0.0,0.0,Medium
ACC000903,Business,799,False,0.0,0.38263844692485327,0,0.0,0.0,Medium
ACC000948,Professional,299,False,0.0,0.25374413899087217,0,0.0,0.0,Low
ACC000347,Business,799,False,0.0,0.44207003828271774,0,0.0,0.0,Medium
ACC000140,Business,799,False,0.0,0.45062248417642053,0,0.0,0.0,Medium
ACC000622,Professional,299,False,0.0,0.4267862998337484,0,0.0,0.0,Medium
ACC000500,Starter,99,False,0.0,0.3805703671124078,0,0.0,0.0,Medium
ACC000371,Professional,299,True,60.34,0.5931499935719602,1,56.1857536731609,674.2290440779309,Medium
ACC000199,Starter,99,False,0.0,0.4482657473665172,0,0.0,0.0,Medium
ACC000688,Starter,99,True,14.85,0.5080573112077436,1,24.65889201299105,295.9067041558926,Medium
ACC000585,Starter,99,False,0.0,0.3256527794963673,0,0.0,0.0,Medium
ACC000902,Starter,99,False,0.0,0.34071115133283664,0,0.0,0.0,Medium
ACC000060,Starter,99,False,0.0,0.517100107546032,1,-2.8475188190128478,-34.17022582815417,Medium
ACC000329,Starter,99,False,0.0,0.2928726904028782,0,0.0,0.0,Low
ACC000097,Starter,99,False,0.0,0.3301529955338775,0,0.0,0.0,Medium
ACC000313,Starter,99,False,0.0,0.38338127384171344,0,0.0,0.0,Medium
ACC000975,Starter,99,False,0.0,0.4150321672434,0,0.0,0.0,Medium
ACC000300,Starter,99,True,99.0,0.4874941532539248,0,0.0,0.0,Medium
ACC000278,Professional,299,False,0.0,0.4451888500498886,0,0.0,0.0,Medium
ACC000925,Professional,299,False,0.0,0.4584915261021034,0,0.0,0.0,Medium
ACC000602,Starter,99,False,0.0,0.4569495248078067,0,0.0,0.0,Medium
ACC000440,Professional,299,True,42.0,0.5188537325317586,1,49.0197434532955,588.236921439546,Medium
ACC000838,Starter,99,False,0.0,0.4617590551817747,0,0.0,0.0,Medium
ACC000571,Professional,299,False,0.0,0.33731782172560815,0,0.0,0.0,Medium
ACC000880,Starter,99,False,0.0,0.3937016563917261,0,0.0,0.0,Medium
ACC000262,Starter,99,False,0.0,0.40357978588743876,0,0.0,0.0,Medium
ACC000579,Starter,99,False,0.0,0.4039122172662922,0,0.0,0.0,Medium
ACC000024,Starter,99,False,0.0,0.47947839292943756,0,0.0,0.0,Medium
ACC000031,Starter,99,False,0.0,0.4091335872585537,0,0.0,0.0,Medium
ACC000618,Business,799,True,119.51,0.5197543470204375,1,144.4049369875897,1732.8592438510764,Medium
ACC000011,Starter,99,False,0.0,0.2441418312449911,0,0.0,0.0,Low
ACC000222,Starter,99,False,0.0,0.2838943317675484,0,0.0,0.0,Low
ACC000821,Business,799,False,0.0,0.3073106332222235,0,0.0,0.0,Medium
ACC000297,Professional,299,False,0.0,0.45331650014261854,0,0.0,0.0,Medium
ACC000055,Business,799,False,0.0,0.3682341016342,0,0.0,0.0,Medium
ACC000543,Starter,99,False,0.0,0.44696201909402317,0,0.0,0.0,Medium
ACC000210,Professional,299,False,0.0,0.3315023494232214,0,0.0,0.0,Medium
ACC000605,Professional,299,False,0.0,0.2677189753540048,0,0.0,0.0,Low
ACC000693,Professional,299,False,0.0,0.38443292598670065,0,0.0,0.0,Medium
ACC000663,Starter,99,True,99.0,0.6471842764542931,1,135.22836732481494,1622.7404078977793,High
ACC000867,Starter,99,False,0.0,0.3613588962903723,0,0.0,0.0,Medium
ACC000071,Enterprise,2499,True,374.85,0.5308419868076464,1,400.36807076423815,4804.416849170858,Medium
