account_id,tier,mrr,contract_start_date,contract_term_months,payment_method_age_days,payment_reliability_score,customer_health_score,licensed_users,actual_users,total_invoices,failed_payment_count,last_login_days_ago,support_tickets_90d,feature_adoption_pct,has_leakage,leakage_type,monthly_leakage_amount,estimated_annual_leakage,detection_difficulty,payment_failure_rate,user_utilization_ratio,days_since_contract_start,revenue_per_user,engagement_score,payment_risk,health_risk,engagement_risk,overutilization
ACC000001,Starter,99,2025-05-15,12,141,0.386,70.2,5,5,6,0,31,1,69.8,False,None,0.0,0.0,N/A,0.0,1.0,204,19.8,69.47999999999999,1,0,1,0
ACC000002,Professional,299,2025-01-21,12,53,0.145,78.6,20,11,10,0,86,2,80.9,False,None,0.0,0.0,N/A,0.0,0.55,318,14.95,54.14,1,0,1,0
ACC000003,Starter,99,2024-02-26,12,303,0.83,82.3,5,2,21,0,54,0,60.5,True,Expired_Payment_Method,99.0,1188.0,Easy,0.0,0.4,648,19.8,54.7,0,0,1,0
ACC000004,Professional,299,2025-08-05,12,48,0.132,70.2,20,22,4,0,27,2,81.3,True,Failed_Payment_Retry,44.85,538.2,Easy,0.0,1.1,122,14.95,77.97999999999999,1,0,0,0
ACC000005,Starter,99,2025-01-11,36,309,0.847,97.0,5,1,10,0,3,2,62.0,False,None,0.0,0.0,N/A,0.0,0.2,328,19.8,76.0,0,0,0,0
ACC000006,Starter,99,2024-02-10,12,333,0.912,81.1,5,2,22,0,89,1,58.5,False,None,0.0,0.0,N/A,0.0,0.4,664,19.8,39.5,0,0,1,0
ACC000007,Starter,99,2024-02-26,24,113,0.31,78.5,5,3,21,2,57,1,38.0,True,Failed_Payment_Retry,14.85,178.2,Easy,0.09523809523809523,0.6,648,19.8,40.0,1,0,1,0
ACC000008,Starter,99,2024-01-12,24,4,0.011,92.0,5,2,23,1,20,5,56.3,False,None,0.0,0.0,N/A,0.043478260869565216,0.4,693,19.8,65.78,1,0,0,0
ACC000009,Starter,99,2024-07-01,24,143,0.392,85.0,5,5,17,0,19,2,75.8,False,None,0.0,0.0,N/A,0.0,1.0,522,19.8,77.88,1,0,0,0
ACC000010,Professional,299,2025-01-29,24,53,0.145,55.9,20,10,10,1,11,1,74.5,True,Billing_System_Error,42.33,507.93,Medium,0.1,0.5,310,14.95,80.3,1,1,0,0
ACC000011,Starter,99,2024-08-13,12,184,0.504,77.4,5,5,15,0,44,2,41.3,False,None,0.0,0.0,N/A,0.0,1.0,479,19.8,47.18,1,0,1,0
ACC000012,Professional,299,2023-12-28,24,23,0.063,83.5,20,18,23,0,58,1,49.8,False,None,0.0,0.0,N/A,0.0,0.9,708,14.95,46.67999999999999,1,0,1,0
ACC000013,Business,799,2024-03-06,12,194,0.532,89.7,100,108,21,0,10,4,60.3,False,None,0.0,0.0,N/A,0.0,1.08,639,7.99,72.18,1,0,0,0
ACC000014,Professional,299,2024-02-19,24,322,0.882,71.5,20,22,21,0,79,0,79.4,True,Expired_Payment_Method,299.0,3588.0,Easy,0.0,1.1,655,14.95,56.04,0,0,1,0
ACC000015,Professional,299,2024-09-01,36,99,0.271,73.1,20,10,15,1,90,5,65.2,False,None,0.0,0.0,N/A,0.06666666666666667,0.5,460,14.95,43.12,1,0,1,0
ACC000016,Starter,99,2025-06-27,12,339,0.929,74.0,5,4,5,0,29,2,70.2,False,None,0.0,0.0,N/A,0.0,0.8,161,19.8,70.52,0,0,0,0
ACC000017,Enterprise,2499,2024-11-14,12,120,0.329,71.8,500,342,12,2,12,3,51.9,False,None,0.0,0.0,N/A,0.16666666666666666,0.684,386,4.998,66.34,1,0,0,0
ACC000018,Business,799,2024-08-13,24,233,0.638,65.0,100,119,15,0,81,5,81.9,True,Failed_Payment_Retry,119.85,1438.2,Easy,0.0,1.19,479,7.99,56.74,1,0,1,1
ACC000019,Business,799,2024-08-29,12,190,0.521,74.0,100,60,15,0,45,0,73.9,True,Failed_Payment_Retry,119.85,1438.2,Easy,0.0,0.6,463,7.99,66.34,1,0,1,0
ACC000020,Starter,99,2025-02-04,36,137,0.375,84.8,5,3,10,1,89,1,76.0,True,Failed_Payment_Retry,14.85,178.2,Easy,0.1,0.6,304,19.8,50.0,1,0,1,0
ACC000021,Professional,299,2025-06-25,36,326,0.893,78.1,20,20,5,0,21,1,81.0,True,Expired_Payment_Method,299.0,3588.0,Easy,0.0,1.0,163,14.95,80.2,0,0,0,0
ACC000022,Starter,99,2024-03-09,36,126,0.345,72.0,5,2,21,3,20,3,55.7,False,None,0.0,0.0,N/A,0.14285714285714285,0.4,636,19.8,65.42,1,0,0,0
ACC000023,Starter,99,2024-05-21,24,139,0.381,81.0,5,3,18,1,81,1,65.3,False,None,0.0,0.0,N/A,0.05555555555555555,0.6,563,19.8,46.78,1,0,1,0
ACC000024,Starter,99,2024-02-14,12,351,0.962,76.5,5,2,22,0,41,1,66.6,False,None,0.0,0.0,N/A,0.0,0.4,660,19.8,63.559999999999995,0,0,1,0
ACC000025,Professional,299,2025-07-11,12,17,0.047,78.0,20,23,4,1,40,1,75.0,True,Usage_Overage_Unbilled,44.85,538.2,Medium,0.25,1.15,147,14.95,69.0,1,0,1,1
ACC000026,Business,799,2024-07-23,24,34,0.093,89.0,100,92,16,2,27,4,92.1,False,None,0.0,0.0,N/A,0.125,0.92,500,7.99,84.46000000000001,1,0,0,0
